Pokorny_entry	English_gloss
3 bhreus-, bhrū̆s-	to boil, sound, etc.
bhroisqo-, bhrisqo-	bitter
1 bhrū-	brow, eyebrow
2 bhrū-, bhrēu-	beam, bridge
bhrūg-	fruit; to brook, enjoy
bhrugh-no-	twig
bhudh-m(e)n	base, ground, bottom, fundament
bhū̆g̑o-s, familiar form bhukko-s	buck, goat
dā-	fluid; river; to flow
dā : də-, and dāi- : dəi-, dī̆-	to share, divide
dāiu̯ēr, genitive daiu̯rés	brother-in-law
dak̑ru-	tear (from the eye)
dāu-, dəu-, dū̆-	to burn, injure, torment
*dəg̑h-mó-	slanting
de-, do-	I-deictic; here
dē- : də-, and dēi-, dī-	to tie, bind
dēg-	to take, grab, pack?
1 dei-, dei̯ə-, dī-, di̯ā-	to shine, glitter; day, sun; god, deity
2 dei̯ə-, di̯ā-, di̯ə-, dī-	to move, spin, swing
deig̑h-	to itch, prick; tick
deik̑-	to teach, show
1 dek̑-	to take
2 dek̑- : dok̑-, dēk̑-	to tear, rip to pieces
dek̑m̥, dek̑m̥-t, dek̑u-	ten, decade
1 del-	to tell, count, calculate
2 del-	to shake, totter
3 del-, dol-, delə-	to split, divide
4 del-	to rain, dribble
5 del-	long
dem-, demə-	to build, timber; house, domicile
demə-, domə-, domə-	to tame
demel-	worm?
denk̑-	to bite
1 dens-	to learn; mental power
2 dens-	dense
deph-	to push, stamp, thrust
1 der- : dōr-, der-, or dōr- : dər-	hand span
2 der-, reduplicated der-der-, dr̥dor-, broken reduplication dor-d-, dr̥-d-	(onomatopoeic: to mutter, grumble)
3 der-, drā-, dreb-, drem-, dreu-	to run, trip, tread, tramp
4 der-, heavy-base derə-, drē-	to cut, skin, split, tear
derbh-	to wind, put together
der(ep)-	to see?
derə-, drā-	to work
dergh-	to grasp
derk̑-	to look
deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-	firm, solid; tree, wood
des-, dēs-	to find
1 deu-	to sink in, plunge into
2 deu-, or dou- : du-	to worship, venerate; mighty
3 deu-, deu̯ə-, du̯ā-, dū-	to pass, move forward
deuk-	to tug, pull, drag, tow
deup- : kteup-?	(onomotopoeic: dull thud)
dəg̑h-mó-s	slanting
digh-	goat
dī̆p-ro-, dī̆p-erā	sacrificial animal
dl̥kú-	sweet, dulcet
dn̥g̑hū, dn̥g̑hu̯ā	tongue
dō- : də-, also dō-u- : dəu- : du-	to give, donate
dous-	arm
drē- : drə-, extended dr-ē̆m-	to sleep
dreg̑h-	vexed, displeased, unwilling
dumb-, dumbh-?	tail, penis
dus-	bad, foul, evil
du̯ei-	to fear
du̯ō(u)	two, duo
1 dhā̆bh-, nasalized dhamb(h)-	to be speechless, astonished; to dab, be touched, affected
2 dhabh-	to fix, suit; proper
dhā̆l-	to bloom, be green
dhanu-, or dhonu-	(type of tree)
dhau-	to press, strangle
1 dhē-, reduplicated dhē-dh(ē)-	older family member (nursery word)
2 dhē-	to do, put, place, set
3 dhē-, dhə-	to disappear, pass away
dheb-	fat, thick, heavy
dhebh-, dhebh-eu-	to harm, injure
dhegu̯h-	to burn
dhē(i)-, also dh-ei-?	to suck, suckle
dhei̯ə- : dhi̯ā- : dhī-	to look, see, show
dhēigu̯- : dhōigu̯- : dhīgu̯-	to dig, plant, stab, stick
dheig̑h-	to build, knead clay
1 dhel-, dholo-	curve; dell, hollow
2 dhel-	to light; shining
3 dhel-	to tremble
dhelbh-	to dig, delve, bury
dhelg-	to stab, stick; needle
dhelgh-, dhelg-	to hit
dhem-, dhemə-	to blow, fly about like dust
dhembh-, dhm̥bh-	to dig
1 dhen-	to flow, run
2 dhen-	flat of hand, surface of land, etc.
3 dhen-	to hit, ding, push, thrust
1 dhengh-	to press, cover
2 dhengh-	to get, grip, reach
1 dher-, dherə-	dirt, dreg, some type of deposit
2 dher-, dherə-	to hold, support
3 dher-, dhereu-, dhrē̆n-	(onomatopoeic: to drone, growl, purr, etc.)
4 dher- : dhor- : dher-	to jump (at)
5 dher-, dhrei-d-	to defecate; dirt
dherāgh-	to drag, pull
dherbh-, dherəbh-?	to work
dherebh-	to harden; coagulated
dheregh-	bushy plants
dhereg̑h-, dhr̥g̑h-nā-	to turn, wind
dhers-	to dare, be bold
dhēs-, dhəs-	(used in religious terms)
1 dheu-	to flow, run
2 dheu-, dhu̯-ēi-	to die, faint, vanish
3 dheu-	to shine brightly
4 dheu-, dheu̯ə-, presumably dhu̯ē-, compare suffixes dhu̯ē-k-, dhu̯ē̆-s-	to blow, dissipate, fly about like dust, etc.
dheu-b-, dheu-p-	deep, hollow
dheubh-, dhubh-	peg, wedge
dheu̯es-, dhu̯ē̆s-, dheus-, dhū̆s-	to blow, dissipate, fly about like dust, etc.
dheugh-	to milk, press, touch
dhlas-, or dhels- : dhl̥s-	to press, squeeze; squash?
dhl̥gh-	debt, guilt, duty
dhō-	to sharpen
dhō[u]- : dhū-	rope?
dhrebh-	to drub, crush, grind to pieces
dhreg̑-	to pull
1 dhregh-	to run
2 dhregh-	to hurt, torment
dhreibh-	to drive, push, thrust
dhreu-	to grind, crumble
1 dhreugh-	to shake, tremble
2 dhreugh-	to harm, deceive
dhrigh-, or dhreikh-	hair, bristle
dhrono-	multicolored?
dhug(h)əter-	daughter
dhu̯en-, dhun-	to hum, drone
dhu̯er-, dhu̯erə-	to harm by trickery/deception
dhu̯ē̆r-, dhu̯ō̆r-, dhur-, dhu̯r̥-	door
dhu̯ergh- : drugh-	crippled, dwarf-like, low in stature
1 ē̆, ō̆	(particle: he, this, etc.)
2 ē, ō	oh (vocative interjection)
3 e-, ei-, i-, fem. ī-	(demonstrative particle: one, this, etc.)
ebhi? : obhi : bhi	from, around, (up) to, etc.
ed-	to eat
1 edh-	tip, point
2 edh-	fence of stakes
eg-	lack (of something)
ēg̑-, ōg̑-, əg̑-	to say, speak
eg̑-, eg̑(h)om, eg̑ō	ego, I (pronoun)
eg̑hero-	(inland) lake
eg̑hi-	hedgehog
eg̑hs, eg̑hz	from, out of, ex-
egnis : ognis	fire
ehem, eheu, eho	aha! oho! (exclamation)
1 ei-	to go, exit
2 ē̆i	O (vocative particle)
3 ei-	bright; reddish
4 ei- : oi-	pole, stake
eibh- : oibh-, i̯ebh-	to copulate
eig-, oig-	to lament, complain
ēik-	to own, possess, be capable
1 eis-	to move rapidly/violently
2 ei-s-, ei-n-	ice, frost
ek̑u̯o-s	horse
1 el-, ol-, el-	red, brown
2 el-	to lie, recline
3 el- : ol-	to rot, be moldy
4 el-, ol-	(a noise)
5 el-, ol-	to destroy
6 el-, elə- : lā-, el-eu-(dh-)	to go, move, drive
7 el-, elə-, with k-suffix elk-, elək-	hungry; bad?
8 el-, elē̆i-, lē̆i-, olī̆nā	to bend; elbow
ēl-	line, strip
ēlā	awl, bodkin
elg-	poor, needy
elk-, elək-	hungry; bad?
elkos-	boil, abscess
em-	to take
embhi-, empi-	bee, gnat, mosquito
1 en	in
2 en-	year
ēn	behold! look here!
1 enebh-, embh-, ombh-, nō̆bh-, nēbh-?, m̥bh-	navel
2 enebh- : nebh-, embh-, m̥bh-	wet, damp; cloud, nimbus; water
enek̑-, nek̑-, enk̑-, n̥k̑-	to reach, obtain
ē̆neu, ē̆nu	without
e-neu̯en, neu̯n̥, enu̯n̥	nine
engu̯-, n̥gu̯ḗn	bump, swelling
eno-, possibly e-no- : ono- : no- : -ne-	that
en(o)mn̥-, (o)nomn̥, nōmn̥	name
enos-, or onos-	onus, burden
enq-, onq-	to sigh, groan
ent-, better ant-?	to weave
epero-	wild boar
epi, opi, pi	at, near, epi-
ēpi-	comrade, companion
epop, opop	(onomatopoeic: call of hoopoe bird)
eph-	to cook
1 er-, or-	erne, eagle
2 er-, eri-	goat, sheep
3 er- : or- : r-	to move, set in motion
4 er-, er-t-, er-u̯-	earth
5 er-, erə-, thematic (e)r-ĕ-	loose, crumbly
ereb-, orob-, rōb-	to drill, make holes, hollow out
ē̆reb(h)-, ō̆rob(h)-	(dark color, reddish brown)
ered-	to flow away; dampness
eregu̯(h)o-, erogu̯(h)o-	pea, legume
1 erek-, er[e]gh-	tick, mite, louse
2 er(e)k-, rek-, rok-	to tear, cut, split
1 eres-	to stab, pierce
2 ere-s-, ers-, r̥s-, eres-, and rē̆s-, rō̆s-	to flow
1 ereu-	to ask, seek
2 ereu-	to tear, rip up
1 erə-, rē-, er(e)-	to row; oar
2 erə-, rē-	to rest, be still
er(ə)d-, (er(ə)d-), er(ə)dh-	high; to grow
ergh-	to shake, tremble
erku̯-	to beam, shine; to praise
ers- : orsos	tail; arse, rump, backside
es-	is, to be
esu-s : su-	good, able
ē̆s-	to sit
es-en-, os-en-	summer, harvest time
ē̆s-r̥(gu̯), genitive es-n-és	blood
et(e)n-	seed, grain
ēter-	intestines
eti	out, beyond, etc.
ētī-	eider (duck)
ēt-mén-	breath
ētro-	quick, swift, hurried
1 eu-, euə- : u̯ā-, u̯ə-	to lack, want; empty, vacant
2 eu-	to dress, put on
3 eu-	to feel
4 eu-	(exclamation of joy)
ēudh-, ōudh-, ūdh-	udder
euk-	to accustom oneself, be used to
eus-	to burn
eu̯egu̯h-	to praise, worship, avow, speak formally
g̑ā̆b-	to show, watch out for
gag-, gōg-	something round/lumpy
1 gal-	bald, callow, naked
2 gal-	to call, cry
3 gal-, or ghal-	to be able
gan(dh)-	vessel
gang-	to mock, scorn
g̑ā̆r-	to call, cry
garəg̑-	grim, grievous, dreadful
gāu-	to rejoice, be glad
g̑ebh-	bough, branch, stick
g̑egh-, g̑ogh-	branch, bush; picket
gei-	to bend, turn
gē(i)- : gō(i)- : gī-	to cry, sing
g̑ēi-, g̑ī-	to sprout
geid-	to stab; kittle, tickle
g̑eid-	to suck
geig̑-	to bite, prick, stab
g̑eis-	gravel
1 gel-	to curl, form into ball; round
2 gel-, and gu̯el-	to glut, devour, envelop
3 gel(ə)-	cool, cold; to keel, freeze
g̑el-, g̑elə-, g̑lē-, also *gelēi- : g̑(e)ləi-	bright; to shine, be joyful
gelebh-	to flay, scrape
geli-, glī-	mouse
g̑(e)lōu̯-	sister-in-law
gem-	to grasp, grip; be full
g̑embh-, g̑m̥bh-, g̑ombhos	to bite; tooth
g̑em(e)-	to marry
gen-	to pinch, press together, etc.
1 g̑en-, g̑enə-, g̑nē-, g̑nō-	to bear, produce, generate
2 g̑en-, g̑enə-, g̑nē-, g̑nō-	to ken, know, recognize
genebh-, genobh-	pin, wooden plug
geng-, gong-	lump
gengh-	to turn, weave
1 g̑enu-, g̑neu-	knee, joint
2 g̑enu-, fem., g̑enədh- : g̑onədh-	chin, jaw(bone)
g̑ep(h)-, g̑ebh-	jaw, jowl, mouth; to eat
1 ger-, gere-	to cram, collect, put together
2 ger-	(onomatopoeic: to crow, shriek, etc.)
3 ger-	to turn, wind, curl
4 ger-, grēi-	to grow, awaken
g̑er-, g̑erə-, g̑rē-	to rub; rotten; to age, ripen; grain
gerebh-	to carve, scratch; write
g̑ers-	to bend, turn
gēu-, gəu-, gū-	to bend, curl; cup, vessel
g̑eu-, g̑eu̯ə-, also geu̯ə-	to hurry, promote
g(e)u-lo-	glowing coal
g̑eus-	to taste, degust, enjoy
g(i̯)eu-, g̑(i̯)eu-	to chew
glag-, or glak-	milk
gleg̑-	soft, tender
g̑lei-	to attack, run at
gleubh-	to cut, cleave, pare, slice
glōgh- : gləgh-	barb, spike
1 gol-, lengthened grade gōl-, reduced grade gol-	to camp, lie down; den (of animals)
2 gol-	bough, branch, twig
gō̆u-, gou̯ə-, gū-	to call, cry
gou̯ə-, or gau̯ə-? : gū-	hand; to grab
gras- : grō̆s-	to gnaw, eat, devour
grēb(h)o-s : grōb(h)o-s	beech or hornbeam (tree)
gred- : grod-	to grate, scratch
grem-	to be damp; to sink
1 greus-	to crush, crumble, crackle
2 greus-	to burn, smolder
greut-	to crush, press; curd
grōd-, grəd-	hail?
gru-	to grunt (of pigs)
gha gha, ghe ghe, ghi ghi	to cackle, gaggle (of geese)
ghabh-	to take, grab, seize
ghabh(o)lo-, masc., ghabh(o)lā fem.	branch, fork
g̑hāgu̯h-	young bird/animal
ghaido-, or g̑haido-	goat, kid
ghais-	to stick, be fixed to
g̑haiso-, or g̑həiso- : g̑hēiso-	dart; staff, stick
ghait-ā	curly/wavy hair
g̑hal-, g̑hal-ar-	flaw, defect; harm
g̑halg(h)-	flexible twig
