Reflex,Etyma
avian,au̯ei-
aviary,au̯ei-
aviation,au̯ei-
aviculture,1. ku̯el-
avifauna,"au̯ei- , dhau-"
avocation,u̯eku̯-
avoid,1. eu-
avoirdupois,1. (s)pen(-d)-
Avon,ab-
avow,eu̯egu̯h-
avulse,8. u̯el-
avuncular,au̯o-s
awaken,u̯eg̑-
awake,u̯eg̑-
award,8. u̯er-
aware,8. u̯er-
away,u̯eg̑h-
awe,agh-
awkward,apo-
awl,ēlā
awn,2. ak̑-
awoken,u̯eg̑-
awoke,u̯eg̑-
axenic,ghosti-s
axe,agu̯(e)sī
axilla,ag̑-
axiology,ag̑-
axiom,ag̑-
axis,ag̑-
axletree,"ag̑- , deru-"
axle,ag̑-
axoneme,(s)nē-
axon,ag̑-
axoplasm,ag̑-
ax,agu̯(e)sī
ayah,au̯o-s
aye,aiu̯-
ay,aiu̯-
azalea,ā̆s-
azimuth,2. mei-
azoth,3. gu̯ei̯-
azygous,2. i̯eu-
a,oi-no-
a-,1. nĕ
babble,baba-
babe,baba-
babie,baba-
babysat,"baba- , sed-"
babysit,"baba- , sed-"
baby,baba-
bacillus,bak-
bacteria,bak-
bacterium,bak-
baculiform,bak-
bade,bheudh-
bagel,3. bheug-
baguette,bak-
bahuvrihi,bheng̑h-
baie,badi̯os
bailey,bak-
bailie,bak-
bailiff,bak-
bailiwick,"bak- , u̯eik̑-"
bail,bak-
bairn,1. bher-
bait,bheid-
bake,bhē-
baksheesh,1. bhag-
balance,du̯ō(u)
balcony,5. bhel-
Balder,3. bhel-
Baldor,3. bhel-
bald,1. bhel-
baleen,3. bhel-
baleful,bheleu-
bale,bheleu-
balk,5. bhel-
balladeer,2. gu̯el-
ballad,2. gu̯el-
ballast,klā-
balletomane,"2. gu̯el- , 3. men-"
ballet,2. gu̯el-
ballista,2. gu̯el-
ballock,3. bhel-
balloon,3. bhel-
ballottement,3. bhel-
ballot,3. bhel-
ball,2. gu̯el-
baluchithere,g̑hu̯ē̆r-
Bamfurlong,"bhabhā , 3. perk̑-"
