Reflex,Etyma
lugubrious,leug̑-
lukewarm,1. k̑el-
lumbago,2. lendh-
lumbar,2. lendh-
lumber,1. lem-
lumbricoid,slenk-
lumen,leuk-
luminary,leuk-
luminous,leuk-
lunar,leuk-
lunate,leuk-
lunatic,leuk-
Luna,leuk-
luna,leuk-
lune,leuk-
lunge,5. del-
lung,legu̯h-
lunula,leuk-
lupine,u̯l̥ku̯os
lupus,u̯l̥ku̯os
lush,(s)lēg-
luster,leuk-
lustrum,leuk-
lust,las-
lutefisk,"lou- , peisk-"
lute,1. leu-
lutfisk,"lou- , peisk-"
lux,leuk-
-ly,2. lē̆ig-
lyase,2. leu-
lycanthrope,u̯l̥ku̯os
lych-gate,2. lē̆ig-
lychnis,leuk-
Lycia,u̯l̥ku̯os
lycopodium,2. pē̆d-
lye,lou-
lymphadenitis,engu̯-
lynx,leuk-
lyo-,2. leu-
lysis,2. leu-
-lyte,2. leu-
-lytic,2. leu-
lytic,2. leu-
lytta,u̯l̥ku̯os
maar,mori
macerate,2. māk-
machicolate,1. ku̯el-
machicolation,1. ku̯el-
machine,magh-
mackle,smē-
macle,smē-
macron,māk̑-
macro-,māk̑-
macr-,māk̑-
maculate,smē-
macula,smē-
macule,smē-
Madam,"dem- , 1. me-"
madam,"dem- , 1. me-"
madden,2. mei-t(h)-
madder,modhro-
made,mag̑-
Madonna,dem-
madrepore,mātér-
mad,2. mei-t(h)-
maelstrom,sreu-
maenad,3. men-
maestoso,meg̑(h)-
maestro,meg̑(h)-
magic,magh-
magisterial,meg̑(h)-
magistral,meg̑(h)-
magistrate,meg̑(h)-
magma,mag̑-
magnanimous,3. an(ə)-
magnate,meg̑(h)-
magnificent,meg̑(h)-
magnifico,meg̑(h)-
magnific,meg̑(h)-
magnify,meg̑(h)-
magniloquent,meg̑(h)-
magnitude,meg̑(h)-
magnum,meg̑(h)-
magpie,(s)pī̆ko-
magus,magh-
maharajah,meg̑(h)-
maharaja,meg̑(h)-
maharanee,meg̑(h)-
maharani,1. reg̑-
maharishi,meg̑(h)-
mahatma,meg̑(h)-
Mahayana,1. ei-
mahout,3. mē-
maiasaur,3. mā
maidenhead,(s)kāi-
maiden,maghos
maid,maghos
maieutic,3. mā
maillot,smē-
mail,smē-
maim,1. mai-
mainmast,"magh- , mazdo-s"
maintain,1. ten-
main,magh-
majesty,meg̑(h)-
major-domo,meg̑(h)-
majority,meg̑(h)-
major,meg̑(h)-
majuscule,meg̑(h)-
makeup,mag̑-
make,mag̑-
malacology,leg̑-
malady,ghabh-
malaria,1. u̯er-
maledict,"deik̑- , 2. mel-"
malefactor,"2. dhē- , 2. mel-"
malefic,2. mel-
malentendu,2. mel-
malevolence,2. mel-
malevolent,2. mel-
malfeasance,"2. dhē- , 2. mel-"
malice,2. mel-
malign,1. g̑en-
malison,deik̑-
malleable,1. mel-
malleolus,1. mel-
mallet,1. mel-
malleus,1. mel-
malm,1. mel-
maltha,1. mel-
malt,1. mel-
malversation,3h. u̯er-
mal-,2. mel-
mama,3. mā
mammal,3. mā
mamma,3. mā
mammilla,3. mā
mañana,2. mā-
manacle,mə-r
manage,mə-r
-mancer,3. men-
-mancy,3. men-
mandamus,mə-r
mandarin,3. men-
mandate,mə-r
mandible,2. menth-
manege,mə-r
manes,2. mā-
maneuver,1. op-
mane,mono-
mangel-wurzel,u̯(e)rād-
manger,2. menth-
mange,2. menth-
mangle,1. mai-
maniac,3. men-
mania,3. men-
manicotti,mə-r
manicure,mə-r
manicurist,mə-r
manic,3. men-
manifest,gu̯hedh-
manifold,3a. pel-
manikin,manu-s
maniple,mə-r
manipulation,mə-r
mankind,"1. g̑en- , manu-s"
mannequin,manu-s
manner,mə-r
manometer,4. men-
manor,5. men-
manque,mə-r
Mansbane,"bhen- , manu-s"
manse,5. men-
mansion,5. men-
mansuetude,se-
manticore,1. su̯el(-k)-
mantic,3. men-
mantis,3. men-
mantra,3. men-
manual,mə-r
manubrium,mə-r
manufacture,2. dhē-
manumit,mə-r
manure,1. op-
manuscript,"mə-r , 4. (s)ker-"
manus,mə-r
Manu,manu-s
many,men(e)gh-
man,manu-s
maquette,smē-
maquillage,mag̑-
maquis,smē-
marasca,om-
maraschino,om-
marasmus,5. mer-
marble,5. mer-
marchese,mereg̑-
marchioness,mereg̑-
march,mereg̑-
marc,mereg̑-
mare,mori
margin,mereg̑-
margrave,gerebh-
mariachi,meri̯o-
mariculture,"1. ku̯el- , mori"
marinara,mori
marine,mori
Marish,mori
marital,meri̯o-
maritime,mori
marka,mereg̑-
market,merk̑-
markhor,"2. mel- , 1. su̯el(-k)-"
markka,mereg̑-
Mark,mereg̑-
mark,mereg̑-
marmalade,meli-t
marquee,mereg̑-
marquess,mereg̑-
marquetry,mereg̑-
marquise,mereg̑-
marquis,mereg̑-
marram,mori
marriage,meri̯o-
marrow,moz-g-o-
marry,meri̯o-
marsh,mori
Martinmas,smeit-
mart,merk̑-
marvel,1. (s)mei-
mar,6. mer-
mash,mei-k̑-
mason,mag̑-
masseter,2. menth-
mass,smeit-
master,meg̑(h)-
masticate,2. menth-
mastiff,se-
mastodon,ed-
mastoid,mad-
mastopexy,pā̆k̑-
mast,mazdo-s
match,2. meug-
matelote,neu-d-
matelotte,neu-d-
material,mātér-
maternal,mātér-
maternity,mātér-
mate,mad-
mathematical,mendh-
mathematics,mendh-
Mathom-house,"2. mei-t(h)- , 2. (s)keu-"
mathom,2. mei-t(h)-
math,2. mē-
matilda,3. kel-
matinee,2. mā-
matins,2. mā-
matriclinous,"k̑lei- , mātér-"
matriculate,mātér-
matrimony,mātér-
matrix,mātér-
matronymic,"en(o)mn̥- , mātér-"
matron,mātér-
matter,mātér-
matte,mad-
mattock,2. mat-
mature,2. mā-
matutinal,2. mā-
maugre,4. gu̯er(ə)-
maulstick,6. mel-
maul,1. mel-
maund,3. mē-
maur,moru̯ī̆-
mavourneen,1. me-
mavournin,1. me-
mawk,1. math-
maw,mak-
maximum,meg̑(h)-
maxim,meg̑(h)-
mayhem,1. mai-
mayor,meg̑(h)-
May,meg̑(h)-
may,magh-
mazaedium,mag̑-
ma,3. mā
meadow,2. mē-
mead,médhu
meager,māk̑-
mealie,1. mel-
meal,1. mel-
meant,mei-no-
mean,mei-no-
Mearas,marko-
measure,3. mē-
meathead,"kap-ut , mad-"
meatus,3. mei-
meat,mad-
mechanic,magh-
mechanism,magh-
mechano-,magh-
mechan-,magh-
mecopteran,2. pet-
medal,medhi-
meddle,mei-k̑-
Mede,medhi-
medial,medhi-
median,medhi-
mediastinum,medhi-
mediate,medhi-
medical,1. med-
medicate,1. med-
medicine,1. med-
medico,1. med-
medieval,aiu̯-
mediocre,2. ak̑-
meditate,1. med-
mediterranean,medhi-
medium,medhi-
medley,mei-k̑-
medulla,smeru-
Meduseld,"médhu , 1. sel-"
meed,mizdhó-
meek,2. meug-
meerkat,mori
meerschaum,"mori , 2. (s)keu-"
meet,mōd-
megalocardia,"k̑ered- , meg̑(h)-"
megalopolis,meg̑(h)-
megalo-,meg̑(h)-
megal-,meg̑(h)-
megathere,g̑hu̯ē̆r-
mega-,meg̑(h)-
meiosis,5. mei-
Meistersinger,"meg̑(h)- , sengu̯h-"
melancholy,1. g̑hel-
melange,mei-k̑-
melch,1. mel-
meld,1. meldh-
melee,mei-k̑-
melena,6. mel-
melilot,meli-t
meliorate,4. mel-
meliorism,4. mel-
melisma,5. mel-
melliferous,meli-t
mellifluous,bhleu-
melodrama,5. mel-
melody,"6. au̯- , 5. mel-"
melt,1. mel-
member,mēmso-
membrane,mēmso-
memento,3. men-
memorable,(s)mer-
memorandum,(s)mer-
memory,(s)mer-
menace,1. men-
menage,5. men-
menarche,mēnōt
mendacious,mendā
mendicant,mendā
mend,mendā
menhir,2. sē(i)-
meninx,mēmso-
meniscus,mēnōt
menopause,mēnōt
mensal,3. mē-
mensa,3. mē-
mensch,manu-s
menses,mēnōt
Menshevik,5. mei-
mensh,manu-s
menstrual,mēnōt
menstruate,mēnōt
menstruation,mēnōt
mensural,mēnōt
mental,2. menth-
mention,3. men-
Mentor,3. men-
mentor,3. men-
menu,5. mei-
men,manu-s
mercenary,merk̑-
mercer,merk̑-
merchant,merk̑-
Mercury,merk̑-
mercury,merk̑-
mercy,merk̑-
-mere,(s)mer-
meretricious,(s)mer-
mere,mori
merganser,g̑han-s-
merge,1. mezg-
meridian,1. dei-
Mering,1. mei-
meristem,(s)mer-
merit,(s)mer-
merle,ames-
merlon,ames-
merl,ames-
mermaid,"maghos , mori"
merman,"manu-s , mori"
mermen,"manu-s , mori"
-merous,(s)mer-
Merry,mreg̑hu-
merry,mreg̑hu-
mesa,3. mē-
mesclun,mei-k̑-
mesentery,1. en
mesh,2. mezg-
mesoglea,1. gel-
mesonephros,engu̯-
mesothelium,dhē(i)-
message,smeit-
mess,smeit-
mestizo,mei-k̑-
metabolism,2. gu̯el-
metallurgy,2. u̯erg̑-
metamorphosis,2. mer-
metanephros,engu̯-
metaphor,1. bher-
metaphrase,2. me-
metaphysics,bheu-
metaplasm,pelə-
metastasis,stā-
metathesis,2. dhē-
meta-,2. me-
metempsychosis,2. bhes-
meteor,1. u̯er-
-meter,3. mē-
meter,3. mē-
mete,1. mei-
metheglin,1. med-
methinks,1. tong-
method,sed-
methylene,médhu
metonymy,en(o)mn̥-
metope,oku̯-
metopic,"2. me- , oku̯-"
metrical,3. mē-
metrology,leg̑-
metronome,1. nem-
metronymic,"en(o)mn̥- , mātér-"
metropolis,1. pel-
-metry,3. mē-
met,mōd-
meuniere,1. mel-
mews,2. mei-
mew,1. mū̆-
mezzaluna,"leuk- , medhi-"
mezzanine,medhi-
mezzo-relievo,legu̯h-
mezzotint,medhi-
me,1. me-
miasma,2. mai-
mica,smē-
mice,mūs
Michaelmas,smeit-
mickle,meg̑(h)-
microbe,3. gu̯ei̯-
microfiche,"dhēigu̯- , smē-"
microfilm,"3b. pel- , smē-"
micron,smē-
micro-,smē-
micr-,smē-
micturate,meig̑h-
midday,ā̆g̑her-
Middle-earth,"4. er- , medhi-"
middle,medhi-
Midgard,"g̑herdh- , medhi-"
Midgewater,"9. au̯(e)- , 2. mū-"
midge,2. mū-
midriff,1. krep-
midst,medhi-
midwife,2. me-
mid,medhi-
mighty,magh-
might,magh-
migraine,1. k̑er-
migrate,mei-gu̯-
milchig,mē̆lg̑-
milch,mē̆lg̑-
mildew,meli-t
mild,1. mel-
mile,g̑héslo-
milfoil,4. bhel-
miliary,1. mel-
milieu,medhi-
milium,1. mel-
milk,mē̆lg̑-
millefleur,"4. bhel- , g̑héslo-"
millenary,g̑héslo-
millennium,at-
millepore,g̑héslo-
millesimal,g̑héslo-
millet,1. mel-
milliary,g̑héslo-
millime,g̑héslo-
million,g̑héslo-
millipede,2. pē̆d-
milli-,g̑héslo-
mill,1. mel-
milt,1. mel-
mil,g̑héslo-
Mimir,(s)mer-
minacious,1. men-
minatorial,1. men-
minatory,1. men-
minaudiere,mak-
mince,5. mei-
mind,3. men-
minestrone,5. mei-
mine,1. me-
mingle,men(ə)k-
minikin,3. men-
minimum,5. mei-
minim,5. mei-
minister,5. mei-
ministration,5. mei-
ministry,5. mei-
miniver,2. u̯ā-
mini,5. mei-
minnesinger,"3. men- , sengu̯h-"
minnow,meni-
minor,5. mei-
minuend,5. mei-
minuet,5. mei-
minuscule,5. mei-
minus,5. mei-
minute,5. mei-
minutia,5. mei-
miosis,1. mū̆-
miracle,1. (s)mei-
mirage,1. (s)mei-
mire,moru̯ī̆-
Mirkwood,"2. mer- , u̯idhu-"
mirky,2. mer-
mirk,2. mer-
Mirrormere,"mori , 1. (s)mei-"
mirror,1. (s)mei-
mirth,mreg̑hu-
mir,4. mei-
misadventure,gu̯ā-
miscegenation,1. g̑en-
miscellaneous,mei-k̑-
mischief,kap-ut
miscible,mei-k̑-
miscreant,k̑ered-
misericord,k̑ered-
misfeasance,2. dhē-
mishap,"kob- , 2. mei-t(h)-"
misnomer,en(o)mn̥-
misoneism,neu̯os
misprision,ghend-
missile,smeit-
mission,smeit-
missive,smeit-
miss,2. mei-t(h)-
mistaken,"dēg- , 2. mei-t(h)-"
mistake,"dēg- , 2. mei-t(h)-"
mister,meg̑(h)-
mistletoe,meig̑h-
mistook,"dēg- , 2. mei-t(h)-"
mistral,meg̑(h)-
mistress,meg̑(h)-
mist,meig̑h-
mis-,2. mei-t(h)-
miter,4. mei-
mite,1. mai-
mitigate,7. mēi-
mitochondrion,ghren-
mitosis,4. mei-
mixture,mei-k̑-
mix,mei-k̑-
mizzenmast,"mazdo-s , medhi-"
mizzen,medhi-
mizzle,meig̑h-
mnemonic,3. men-
Mnemosyne,3. men-
moan,mei-no-
mobile,2. meu̯-
mob,2. meu̯-
modal,1. med-
model,1. med-
moderate,1. med-
modern,1. med-
modest,1. med-
mode,1. med-
modicum,1. med-
modify,2. dhē-
modiolus,1. med-
modulate,1. med-
module,1. med-
modulus,1. med-
moidore,au̯es-
moiety,medhi-
moil,1. mel-
moisture,2. meug-
moist,2. meug-
molar,1. mel-
molasses,meli-t
mola,1. mel-
molder,1. mel-
mold,2. meug-
molecule,mō-
molest,mō-
mole,mō-
mollify,2. dhē-
mollusk,1. mel-
molto,4. mel-
molt,2. mei-
momentous,2. meu̯-
momentum,2. meu̯-
moment,2. meu̯-
mom,3. mā
monadelphous,"gu̯elbh- , 4. men-"
monad,4. men-
monanthous,"andh- , 4. men-"
monastery,4. men-
Monday,ā̆g̑her-
mongrel,men(ə)k-
monicker,en(o)mn̥-
moniker,en(o)mn̥-
moniliform,mono-
monish,3. men-
monition,3. men-
monitor,3. men-
monk,4. men-
Monoceros,"1. k̑er- , 4. men-"
monocle,oku̯-
monoclinous,k̑lei-
monocular,oku̯-
monody,6. au̯-
monoecious,u̯eik̑-
monomer,"4. men- , (s)mer-"
Monophysite,bheu-
monopodium,"4. men- , 2. pē̆d-"
monopoly,5. pel-
monopsony,"4. men- , 8. u̯es-"
monotreme,"4. men- , 3. ter-"
mono-,4. men-
monster,mendh-
mons,1. men-
montane,1. men-
monte,1. men-
month,mēnōt
monticule,1. men-
monument,3. men-
mon-,4. men-
mood,5. mē-
moonshine,"mēnōt , sk̑āi-"
moon,mēnōt
moor,mā-no-
moot,mōd-
moo,1. mū̆-
mope,1. mū̆-
mop,1. mū̆-
morale,5. mē-
moral,5. mē-
morass,mori
moratorium,(s)mer-
moratory,(s)mer-
mora,(s)mer-
morbid,5. mer-
mordacious,5. mer-
mordant,5. mer-
mordent,5. mer-
Mordor,4. mer-
morello,om-
mores,5. mē-
more,mrk-
morganatic,2. mer-
morgen,2. mer-
Morgul-king,1. g̑en-
Morgul-knife,gen-
Morgul-lord,8. u̯er-
Morgul-rats,2. rēd-
Morgul-spells,(s)pel-
moribund,4. mer-
morning,2. mer-
morn,2. mer-
morose,5. mē-
-morph,2. mer-
morphallaxis,1. al-
morpheme,2. mer-
morphosis,2. mer-
morpho-,2. mer-
morph-,2. mer-
morrow,2. mer-
morsel,5. mer-
mortal,4. mer-
mortar,4. mer-
mortgage,u̯adh-
mortify,2. dhē-
mortmain,4. mer-
mortuary,4. mer-
mort,4. mer-
morula,moro-
mosaic,3. men-
mosquito,2. mū-
mosso,2. meu̯-
moss,1. meu-
mostaccioli,2. menth-
most,4. mē-
mote,1. med-
mother,1. meu-
moth,1. math-
motif,2. meu̯-
motion,2. meu̯-
motive,2. meu̯-
motor,2. meu̯-
mouille,1. mel-
moulage,1. med-
moulin,1. mel-
moult,2. mei-
mountain,1. men-
mount,1. men-
mourn,(s)mer-
mouse,mūs
mousse,meli-t
moustache,2. menth-
mouth,2. menth-
movement,2. meu̯-
move,2. meu̯-
mow,2. mē-
much,meg̑(h)-
mucilage,2. meug-
mucus,2. meug-
mud,1. meu-
muesli,mad-
muggy,2. meug-
Mugwort,"2. mū- , u̯(e)rād-"
mug,2. meug-
mulberry,"1. bhā- , moro-"
mulch,1. mel-
muley,1. mai-
mule,6. mel-
mullet,6. mel-
mullion,medhi-
multifarious,2. dhē-
multipara,"4. mel- , 2d. per-"
multiplex,"4. mel- , plek̑-"
multiple,"4. mel- , 3a. pel-"
multiply,"4. mel- , 3a. pel-"
multitude,4. mel-
multivoltine,"4. mel- , 7. u̯el-"
multi-,4. mel-
mumble,1. mū̆-
mump,1. mū̆-
mum,1. mū̆-
Mundberg,"bhereg̑h- , mə-r"
Mundburg,"bhereg̑h- , mə-r"
municipal,kap-
munificent,2. mei-
munition,1. mei-
mural,1. mei-
murder,4. mer-
mure,1. mei-
murine,mūs
murky,2. mer-
murk,2. mer-
murmur,mormor-
murrain,4. mer-
murrey,moro-
muscarine,2. mū-
muscatel,mūs
muscat,mūs
muscid,2. mū-
muscle,mūs
museum,3. men-
Muse,3. men-
mush,2. mū-
music,3. men-
musket,2. mū-
musk,mūs
mussel,mūs
mustache,2. menth-
mustang,mei-k̑-
mustard,1. meu-
musteline,mūs
muster,mendh-
musth,mad-
musty,2. meug-
must,mūs
mutate,2. mei-
mutchkin,1. med-
mute,1. mū̆-
mutilate,mut-o-s
mutter,1. mū̆-
mutton,1. mel-
mutual,2. mei-
muzhik,manu-s
myasthenia,seg̑h-
mycelium,7. u̯el-
mycorrhiza,u̯(e)rād-
myiasis,2. mū-
mylonite,1. mel-
myna,mad-
mynheer,1. me-
myocardium,k̑ered-
myopia,oku̯-
myosis,1. mū̆-
myosotis,2. ōus-
myrobalan,3. gu̯el-
myself,1. me-
mysophobia,"bhegu̯- , 1. meu-"
mystagogue,ag̑-
mystery,1. mū̆-
mysticete,mūs
mystic,1. mū̆-
mythopoeic,2. ku̯ei-
my,1. me-
Náli,(s)nē-
Nár,2. nāu-
naan,nogu̯-
nacelle,1. nāus-
nag,ghen-
naiad,snā-
nail,onogh-
nainsook,esu-s
naive,1. g̑en-
naked,nogu̯-
Nameless,"en(o)mn̥- , 2. leu-"
name,en(o)mn̥-
nana,nana
nanism,nana
nanny,nana
nano-,nana
naprapathy,"4. an- , ku̯enth- , 2a. per-"
narc,nas-
naris,nas-
nark,nas-
narrate,2. g̑en-
narrow,2. (s)ner-
Narvi,2. nāu-
narwhal,"2. nāu- , (s)ku̯alo-s"
nasal,nas-
nascent,1. g̑en-
nasturtium,terk-
nasty,u̯eik̑-
natal,1. g̑en-
natant,snā-
natation,snā-
natatorial,snā-
natatorium,snā-
nates,nōt-
natheless,1. to-
nation,1. g̑en-
native,1. g̑en-
natriuresis,9. au̯(e)-
natter,ghen-
natty,2. nei-
nature,1. g̑en-
naughty,1. nĕ
naught,"1. nĕ , u̯ek-ti-"
nausea,1. nāus-
nautical,1. nāus-
nautilus,1. nāus-
naval,1. nāus-
navel,1. enebh-
nave,1. nāus-
navicular,1. nāus-
navigate,ag̑-
navy,1. nāus-
nay,aiu̯-
near,enek̑-
neat,neu-d-
nebbish,1. bhag-
nebula,2. enebh-
nebulous,2. enebh-
necessary,sed-
neck,1. ken-
Necromancer,"3. men- , nek̑-"
necromancy,"3. men- , nek̑-"
necropolis,1. pel-
necrosis,nek̑-
necro-,nek̑-
necr-,nek̑-
nectarine,nek̑-
nectar,nek̑-
needle,(s)nē-
need,2. nāu-
nee,1. g̑en-
nefarious,1. nĕ
negate,1. nĕ
neglect,leg̑-
negligee,1. nĕ
negotiate,1. nĕ
negro,neku̯-(t-)
neighbor,enek̑-
neither,ku̯o-
nekton,snā-
Nemesis,1. nem-
nemesis,1. nem-
Neogaea,neu̯os
neologism,leg̑-
neonatal,"1. g̑en- , neu̯os"
neonate,"1. g̑en- , neu̯os"
neon,neu̯os
neophyte,bheu-
neoteny,1. ten-
neoteric,neu̯os
neo-,neu̯os
nepenthe,ku̯enth-
nepheline,2. enebh-
nephelometer,2. enebh-
nephew,nepōt-
nephology,2. enebh-
nephron,engu̯-
nepotism,nepōt-
Neronian,1. ner(-t)-
Neronic,1. ner(-t)-
Nero,1. ner(-t)-
nerve,snēu-
nescience,skē̆i-
ness,neu-ks-
nest,sed-
nether,1. en
nettle,1. ned-
net,2. nei-
neurilemma,7. u̯el-
neuroglia,1. gel-
neuron,snēu-
neurula,snēu-
neuston,snā-
neuter,ku̯o-
never,aiu̯-
neve,sneigu̯h-
newel,1. ken-
newfangled,pā̆k̑-
new,neu̯os
nexus,1. ned-
ne-,1. nĕ
Nibelung,2. enebh-
niccolite,nēik-
nice,skē̆i-
niche,sed-
Nicholas,nēik-
nickeline,nēik-
nickel,nēik-
nickname,au̯eg-
nick,sed-
Nicodemus,nēik-
nictate,knei-gu̯h-
nictitate,knei-gu̯h-
niddering,2. nei-
nide,sed-
nidicolous,sed-
nidifugous,sed-
nidify,sed-
nidus,sed-
niece,nepōt-
niello,neku̯-(t-)
Niflheim,2. nebh-
nigella,neku̯-(t-)
nightingale,ghel-
nightmare,"5. mer- , neku̯-(t-)"
night,neku̯-(t-)
nigh,enek̑-
nigrescence,neku̯-(t-)
nigrescent,neku̯-(t-)
nigrosine,neku̯-(t-)
nihilism,1. nĕ
nihility,1. nĕ
Nike,nēik-
nilgai,"gu̯ou- , 2. nei-"
nill,2. u̯el-
nil,1. nĕ
nimble,1. nem-
nimbus,2. enebh-
nimiety,1. nĕ
nim,1. nem-
nineteen,"dek̑m̥ , e-neu̯en"
ninety,e-neu̯en
nine,e-neu̯en
ninth,e-neu̯en
nip,2. ken-
nirvana,3. u̯ē-
nisi,se-
nisus,knei-gu̯h-
nit,2. nei-
nival,sneigu̯h-
niveous,sneigu̯h-
nix,neigu̯-
noble,2. g̑en-
Nob,gen-
nocent,nek̑-
nock,1. ken-
noctiluca,leuk-
nocti-,neku̯-(t-)
nocto-,neku̯-(t-)
noctuid,neku̯-(t-)
noctule,neku̯-(t-)
nocturnal,neku̯-(t-)
nocturn,neku̯-(t-)
noct-,neku̯-(t-)
nocuous,nek̑-
node,1. ned-
nodule,1. ned-
nodus,1. ned-
nod,2. ken-
Noel,1. g̑en-
noel,1. g̑en-
noil,1. ned-
noisette,1. ken-
noise,1. nāus-
noisome,2. od-
nomadic,1. nem-
nomad,1. nem-
noma,1. nem-
nombril,1. enebh-
nomenclator,6. kel-
nome,1. nem-
nominal,en(o)mn̥-
nominate,en(o)mn̥-
nomograph,1. nem-
nomology,1. nem-
nomothetic,1. nem-
-nomy,1. nem-
nonagenarian,"dek̑m̥ , e-neu̯en"
nonagon,e-neu̯en
nonce,oi-no-
nonchalant,1. k̑el-
nones,e-neu̯en
none,"1. nĕ , oi-no-"
nonjuror,"i̯eu̯os- , 1. nĕ"
nonpareil,2c. per-
nonplus,"1. nĕ , 1. pel-"
nonsuit,1. nĕ
non-,1. nĕ
nook,1. ken-
noon,e-neu̯en
noose,1. ned-
Norbury,"bhereg̑h- , 2. ner-"
Nordic,2. ner-
Nori,2. (s)ner-
normal,2. g̑en-
Norman,manu-s
norm,2. g̑en-
Norse,2. ner-
Northerland,"3. lendh- , 2. ner-"
northern,2. ner-
Northfarthing,"ku̯etu̯er- , 2. ner-"
northward,2. ner-
north,2. ner-
Norwegian,u̯eg̑h-
nor,1. nĕ
nose,nas-
nosh,ghen-
nostalgia,nes-
Nostratic,3. ne-
nostril,5. ter-
nostrum,3. ne-
note,2. g̑en-
nothing,1. nĕ
notice,2. g̑en-
notify,2. dhē-
notion,2. g̑en-
notochord,nōt-
notorious,2. g̑en-
notornis,1. er-
not,"1. nĕ , u̯ek-ti-"
nougat,1. ken-
nought,"1. nĕ , u̯ek-ti-"
noun,en(o)mn̥-
nourish,snā-
novaculite,kes-
novation,neu̯os
nova,neu̯os
novelty,neu̯os
novel,neu̯os
November,e-neu̯en
novena,e-neu̯en
novercal,neu̯os
novice,neu̯os
novillada,neu̯os
novillero,neu̯os
now,nū̆-
noxious,nek̑-
no,1. nĕ
nuance,2. sneudh-
nubile,sneubh-
nub,gen-
nucellus,1. ken-
nucleus,1. ken-
nude,nogu̯-
nudge,2. nāu-
nudnik,2. nāu-
nuisance,nek̑-
nullify,2. dhē-
nullipara,"1. nĕ , 2d. per-"
null,1. nĕ
number,1. nem-
numb,1. nem-
numen,2. neu-
numeral,1. nem-
numismatic,1. nem-
nummular,1. nem-
nummulite,1. nem-
nuncio,1. neu-
nuncupative,kap-
nun,nana
nuptials,sneubh-
nuptial,sneubh-
nurse,snā-
nurture,snā-
nutation,2. neu-
nutcracker,1. ken-
nuthatch,kā̆pho-
nutmeg,mūs
nutria,9. au̯(e)-
nutrient,snā-
nutriment,snā-
nutrition,snā-
nutritious,snā-
nutritive,snā-
nut,1. ken-
nuzzle,nas-
nyctalopia,"neku̯-(t-) , oku̯-"
nyctitropism,"neku̯-(t-) , 2. trep-"
nyctophobia,"bhegu̯- , neku̯-(t-)"
nympholepsy,"(s)lā̆gu̯- , sneubh-"
nympholept,"(s)lā̆gu̯- , sneubh-"
nymph,sneubh-
nystagmus,1. sneud(h)-
Óin,agh-
oaf,albho-
Oakenshield,"2. aig- , 1. (s)kel-"
oakum,g̑embh-
oak,2. aig-
oar,4. ei-
oast,ai-dh-
oath,5. ai-
oat,oid-
obdurate,deru-
obedient,8. au̯-
obeisant,8. au̯-
Oberon,albho-
obese,ed-
obey,8. au̯-
obfuscate,4. dheu-
obituary,1. ei-
object,i̯ē-
objurgate,ag̑-
oblast,u̯al-
oblate,1. tel-
oblige,4. leig-
obliterate,deph-
oblivion,3. lei-
oblong,5. del-
obloquy,tolku̯-
obnoxious,nek̑-
obscure,2. (s)keu-
obsequious,1. seku̯-
observe,2. ser-
obsess,sed-
obstacle,stā-
obstetric,stā-
obstinate,stā-
obstreperous,(s)trep-
obstruct,5. ster-
obtain,1. ten-
obtect,1. (s)teg-
obtest,trei-
obtrude,tr-eu-d-
obtund,"epi , 1. (s)teu-"
obturate,tēu-
obvert,3h. u̯er-
obviate,u̯eg̑h-
obvious,u̯eg̑h-
ocarina,au̯ei-
occasion,1. k̑ad-
occidental,1. k̑ad-
occident,1. k̑ad-
occiput,kap-ut
Occitan,ghe-
occlude,klēu-
occult,4. k̑el-
occupy,kap-
occur,2. k̑ers-
ocellus,oku̯-
ochlocracy,u̯eg̑h-
ochlophobia,"bhegu̯- , u̯eg̑h-"
octad,ok̑tō(u)
octahedron,"ok̑tō(u) , sed-"
Octans,ok̑tō(u)
octant,ok̑tō(u)
octastyle,ok̑tō(u)
octave,ok̑tō(u)
octavo,ok̑tō(u)
octet,ok̑tō(u)
October,ok̑tō(u)
octodecimo,"dek̑m̥ , ok̑tō(u)"
octogenarian,"dek̑m̥ , ok̑tō(u)"
octonary,ok̑tō(u)
octopus,2. pē̆d-
octothorpe,ok̑tō(u)
octo-,ok̑tō(u)
octuple,ok̑tō(u)
oct-,ok̑tō(u)
ocular,oku̯-
oculist,oku̯-
oculomotor,oku̯-
oculus,oku̯-
-ode,sed-
ode,6. au̯-
Odin,1. u̯āt-
odious,2. od-
odium,2. od-
odograph,"gerebh- , sed-"
odometer,sed-
-odon,ed-
-odont,ed-
odonto-,ed-
odont-,ed-
odor,1. od-
Oedipus,2. pē̆d-
oenomel,meli-t
offal,apo-
offend,2. gu̯hen(-ə)-
offense,2. gu̯hen(-ə)-
offer,1. bher-
office,2. dhē-
officinal,1. op-
off,apo-
often,upo
oft,upo
of,apo-
ogee,u̯eg̑h-
ogham,ag̑-
ogive,u̯eg̑h-
ogle,oku̯-
oho,ehem
oh,2. ō
ointment,ongu̯-
Oktoberfest,"dhēs- , ok̑tō(u)"
Oldbuck,"2. al- , bhū̆g̑o-s"
old,2. al-
olecranon,1. k̑er-
olfactory,1. od-
Oliver,albho-
olla,auqu̯(h)-
ombre,g̑hðem-
ombudsman,"ambhi , manu-s"
omega,meg̑(h)-
omelet,2. stel-
omerta,g̑hðem-
omicron,smē-
omit,smeit-
ommatidium,oku̯-
ommatophore,"1. bher- , oku̯-"
omnibus,1. op-
